identifier,intercept,p_M,q_T,log_resid_std,n_points,amortized_at_largest
xcorr_mean_sig-True,-11.463727520444916,1.775699085012973,0.05377760161657645,0.12144825296310809,20,0.027359
xcorr-sq_max_sig-True,-11.516586156128193,1.762359296991911,0.06252229526691787,0.12853077860887463,20,0.026067
cov-sq_EllipticEnvelope,-11.934959979541333,0.6833778166215909,0.8962540962185864,0.37758115564898237,20,0.02388540625
prec_EllipticEnvelope,-11.934959979541333,0.6833778166215909,0.8962540962185864,0.37758115564898237,20,0.02388540625
cov_ShrunkCovariance,-11.934959979541333,0.6833778166215909,0.8962540962185864,0.37758115564898237,20,0.02388540625
prec_ShrunkCovariance,-11.934959979541333,0.6833778166215909,0.8962540962185864,0.37758115564898237,20,0.02388540625
prec_OAS,-11.934959979541333,0.6833778166215909,0.8962540962185864,0.37758115564898237,20,0.02388540625
prec_MinCovDet,-11.934959979541333,0.6833778166215909,0.8962540962185864,0.37758115564898237,20,0.02388540625
prec_LedoitWolf,-11.934959979541333,0.6833778166215909,0.8962540962185864,0.37758115564898237,20,0.02388540625
prec_GraphicalLassoCV,-11.934959979541333,0.6833778166215909,0.8962540962185864,0.37758115564898237,20,0.02388540625
